=== 구분코드 ===
구분코드 | 구분명
01 | 소매
02 | 중도매
03 | 친환경농산물
07 | 친환경농산물(신규)

=== 부류코드 ===
부류코드 | 부류명
100 | 식량작물
200 | 채소류
300 | 특용작물
400 | 과일류
500 | 축산물
600 | 수산물

=== 품목코드 ===
부류코드 | 품목코드 | 품목명
300 | 356 | 03 | 골든아펠둔
300 | 356 | 04 | 스트롱홀드
300 | 356 | 05 | 홀랜디아
300 | 356 | 06 | 미스홀랜드
300 | 357 | 00 | 거베라
300 | 357 | 01 | 포모사
300 | 357 | 02 | 볼가
300 | 357 | 03 | 호프
300 | 358 | 01 | 브리스톨F
300 | 358 | 03 | 길보아
300 | 358 | 04 | 미라벨라
300 | 358 | 05 | 인발
400 | 411 | 01 | 홍옥
400 | 411 | 05 | 후지
400 | 411 | 06 | 쓰가루(아오리)
400 | 411 | 07 | 홍로
400 | 412 | 01 | 신고
400 | 412 | 02 | 만삼길
400 | 412 | 03 | 장십랑
400 | 412 | 04 | 원황
400 | 413 | 01 | 백도
400 | 413 | 04 | 창방조생
400 | 413 | 05 | 유명
400 | 414 | 01 | 캠벨얼리
400 | 414 | 02 | 거봉
400 | 414 | 03 | 델라웨어
400 | 414 | 06 | MBA
400 | 414 | 07 | 수입
400 | 414 | 08 | 레드글로브 칠레(~23.5)
400 | 414 | 09 | 레드글로브 페루(~23.5)
400 | 414 | 10 | 톰슨 미국(~23.5)
400 | 414 | 11 | 톰슨 호주(~23.5)
400 | 414 | 12 | 샤인머스켓
400 | 415 | 00 | 감귤
400 | 415 | 01 | 노지
400 | 415 | 02 | 시설
400 | 416 | 00 | 단감
400 | 418 | 02 | 수입

=== 등급코드 ===
부류코드 | 품목코드 | 품종코드 | 등급코드 | 등급명
100 | 111 | 01 | 04 | 상품
100 | 111 | 01 | 05 | 중품
100 | 111 | 01 | 07 | 유기농
100 | 111 | 01 | 08 | 무농약
100 | 111 | 01 | 09 | 저농약
100 | 111 | 02 | 07 | 유기농
100 | 111 | 02 | 08 | 무농약
100 | 111 | 03 | 07 | 유기농
100 | 111 | 03 | 08 | 무농약
100 | 111 | 05 | 04 | 상품
100 | 111 | 05 | 05 | 중품
100 | 111 | 10 | 04 | 상품
100 | 111 | 11 | 04 | 상품
100 | 112 | 01 | 04 | 상품
100 | 112 | 01 | 05 | 중품
100 | 112 | 01 | 07 | 유기농
100 | 112 | 01 | 08 | 무농약
100 | 113 | 00 | 07 | 유기농
100 | 113 | 00 | 08 | 무농약
100 | 114 | 01 | 07 | 유기농
100 | 114 | 01 | 08 | 무농약
100 | 121 | 02 | 05 | 중품
100 | 141 | 01 | 04 | 상품
100 | 141 | 01 | 05 | 중품
100 | 141 | 01 | 07 | 유기농
100 | 141 | 01 | 08 | 무농약
100 | 141 | 02 | 04 | 상품
100 | 141 | 02 | 05 | 중품
100 | 141 | 03 | 05 | 중품
100 | 142 | 00 | 04 | 상품
100 | 142 | 00 | 05 | 중품
100 | 142 | 01 | 05 | 중품
100 | 143 | 00 | 04 | 상품
100 | 143 | 00 | 05 | 중품
100 | 143 | 01 | 05 | 중품
100 | 144 | 01 | 05 | 중품
100 | 151 | 00 | 04 | 상품
100 | 151 | 00 | 05 | 중품
100 | 151 | 00 | 07 | 유기농
100 | 151 | 00 | 08 | 무농약
100 | 151 | 00 | 09 | 저농약
100 | 152 | 00 | 04 | 상품
100 | 152 | 00 | 05 | 중품
100 | 152 | 01 | 04 | 상품
100 | 152 | 01 | 05 | 중품
100 | 152 | 01 | 07 | 유기농
100 | 152 | 01 | 08 | 무농약
100 | 152 | 01 | 09 | 저농약
100 | 152 | 02 | 04 | 상품
100 | 152 | 02 | 05 | 중품
100 | 152 | 03 | 04 | 상품
100 | 152 | 03 | 05 | 중품
100 | 152 | 04 | 04 | 상품
100 | 152 | 04 | 05 | 중품
100 | 152 | 05 | 04 | 상품
100 | 152 | 05 | 05 | 중품
100 | 152 | 06 | 04 | 상품
100 | 152 | 06 | 05 | 중품
100 | 161 | 01 | 07 | 유기농
100 | 161 | 01 | 08 | 무농약
100 | 162 | 01 | 07 | 유기농
100 | 162 | 01 | 08 | 무농약
100 | 163 | 01 | 07 | 유기농
100 | 163 | 01 | 08 | 무농약
100 | 164 | 01 | 07 | 유기농
100 | 164 | 01 | 08 | 무농약
200 | 211 | 01 | 04 | 상품
200 | 211 | 01 | 05 | 중품
200 | 211 | 01 | 07 | 유기농
200 | 211 | 01 | 08 | 무농약
200 | 211 | 01 | 09 | 저농약
200 | 211 | 02 | 04 | 상품
200 | 211 | 02 | 05 | 중품
200 | 211 | 03 | 04 | 상품
200 | 211 | 03 | 05 | 중품
200 | 211 | 06 | 04 | 상품
200 | 211 | 06 | 05 | 중품
200 | 212 | 00 | 04 | 상품
200 | 212 | 00 | 05 | 중품
200 | 212 | 00 | 07 | 유기농
200 | 212 | 00 | 08 | 무농약
200 | 212 | 00 | 09 | 저농약
200 | 213 | 00 | 04 | 상품
200 | 213 | 00 | 05 | 중품
200 | 213 | 00 | 07 | 유기농
200 | 213 | 00 | 08 | 무농약
200 | 213 | 00 | 09 | 저농약
200 | 214 | 01 | 04 | 상품
200 | 214 | 01 | 05 | 중품
200 | 214 | 01 | 07 | 유기농
200 | 214 | 01 | 08 | 무농약
200 | 214 | 01 | 09 | 저농약
200 | 214 | 02 | 04 | 상품
200 | 214 | 02 | 05 | 중품
200 | 214 | 02 | 07 | 유기농
200 | 214 | 02 | 08 | 무농약
200 | 214 | 02 | 09 | 저농약
200 | 215 | 00 | 04 | 상품
200 | 215 | 00 | 05 | 중품
200 | 216 | 00 | 04 | 상품
200 | 217 | 01 | 07 | 유기농
200 | 217 | 01 | 08 | 무농약
200 | 218 | 01 | 07 | 유기농
200 | 218 | 01 | 08 | 무농약
200 | 221 | 00 | 04 | 상품
200 | 221 | 00 | 05 | 중품
200 | 221 | 00 | 07 | 유기농
200 | 221 | 00 | 08 | 무농약
200 | 222 | 00 | 04 | 상품
200 | 222 | 00 | 05 | 중품
200 | 222 | 00 | 07 | 유기농
200 | 222 | 00 | 08 | 무농약
200 | 222 | 00 | 09 | 저농약
200 | 223 | 01 | 04 | 상품
200 | 223 | 01 | 05 | 중품
200 | 223 | 01 | 07 | 유기농
200 | 223 | 01 | 08 | 무농약
200 | 223 | 01 | 09 | 저농약
200 | 223 | 02 | 04 | 상품
200 | 223 | 02 | 05 | 중품
200 | 223 | 02 | 07 | 유기농
200 | 223 | 02 | 08 | 무농약
200 | 223 | 02 | 09 | 저농약
200 | 223 | 03 | 04 | 상품
200 | 223 | 03 | 05 | 중품
200 | 223 | 03 | 07 | 유기농
200 | 223 | 03 | 08 | 무농약
200 | 223 | 03 | 09 | 저농약
200 | 224 | 01 | 04 | 상품
200 | 224 | 01 | 05 | 중품
200 | 224 | 01 | 07 | 유기농
200 | 224 | 01 | 08 | 무농약
200 | 224 | 01 | 09 | 저농약
200 | 224 | 02 | 04 | 상품
200 | 224 | 02 | 05 | 중품
200 | 224 | 03 | 07 | 유기농
200 | 224 | 03 | 08 | 무농약
200 | 225 | 00 | 04 | 상품
200 | 225 | 00 | 05 | 중품
200 | 225 | 00 | 07 | 유기농
200 | 225 | 00 | 08 | 무농약
200 | 225 | 00 | 09 | 저농약
200 | 226 | 00 | 04 | 상품
200 | 226 | 00 | 05 | 중품
200 | 226 | 00 | 07 | 유기농
200 | 226 | 00 | 08 | 무농약
200 | 226 | 00 | 09 | 저농약
200 | 231 | 01 | 04 | 상품
200 | 231 | 01 | 05 | 중품
200 | 231 | 01 | 07 | 유기농
200 | 231 | 01 | 08 | 무농약
